schuin4,	0.202000,	0.078000,	0.033000,	0.000000,	0.032000,	0.123656, 	PORT 1 NAAR PORT 2, L2.6, R6.2
schuin1,	0.202000,	0.124000,	0.033000,	0.000000,	0.124000,	0.123656, 	PORT 0 NAAR PORT 2, L2.4, R6.6
schuin2,	0.202000,	0.170000,	0.033000,	0.000000,	0.170000,	0.123656, 	PORT 1 NAAR PORT 3, L2.2, R6.8
schuin3,	0.202000,	0.124000,	0.033000,	0.000000,	0.170000,	0.123656, 	PORT 0 NAAR PORT 3, L2.4, R6.8
schuin4,	0.202000,	0.170000,	0.033000,	0.000000,	0.124000,	0.123656, 	PORT 1 NAAR PORT 2, L2.2, R6.6
schuin1,	0.170000,	0.20200,	0.033000,	0.170000,	0.000000,	0.123656, 	PORT 0 NAAR PORT 2, B2.8, O6.2
schuin2,	0.124000,	0.20200,	0.033000,	0.124000,	0.000000,	0.123656, 	PORT 1 NAAR PORT 3, B2.6, O6.4
schuin3,	0.170000,	0.20200,	0.033000,	0.124000,	0.000000,	0.123656, 	PORT 0 NAAR PORT 3, B2.8, O6.4
schuin4,	0.124000,	0.20200,	0.033000,	0.170000,	0.000000,	0.123656, 	PORT 1 NAAR PORT 2, B2.6, O6.2
schuin1,	0.078000,	0.20200,	0.033000,	0.078000,	0.000000,	0.123656, 	PORT 0 NAAR PORT 2, B2.4, O6.6
schuin2,	0.032000,	0.20200,	0.033000,	0.032000,	0.000000,	0.123656, 	PORT 1 NAAR PORT 3, B2.2, O6.8
schuin3,	0.078000,	0.20200,	0.033000,	0.032000,	0.000000,	0.123656, 	PORT 0 NAAR PORT 3, B2.4, O6.8
schuin4,	0.032000,	0.20200,	0.033000,	0.078000,	0.000000,	0.123656, 	PORT 1 NAAR PORT 2, B2.2, O6.6
schuin1,	0.000000,	0.170000,	0.033000,	0.202000,	0.170000,	0.123656, 	PORT 0 NAAR PORT 2, R2.8, L6.2
schuin2,	0.000000,	0.124000,	0.033000,	0.202000,	0.124000,	0.123656, 	PORT 1 NAAR PORT 3, R2.6, L6.4
schuin3,	0.000000,	0.170000,	0.033000,	0.202000,	0.124000,	0.123656, 	PORT 0 NAAR PORT 3, R2.8, L6.4
schuin4,	0.000000,	0.124000,	0.033000,	0.202000,	0.170000,	0.123656, 	PORT 1 NAAR PORT 2, R2.6, L6.2
schuin1,	0.000000,	0.078000,	0.033000,	0.202000,	0.078000,	0.123656, 	PORT 0 NAAR PORT 2, R2.4, L6.6
schuin2,	0.000000,	0.032000,	0.033000,	0.202000,	0.032000,	0.123656, 	PORT 1 NAAR PORT 3, R2.2, L6.8
schuin3,	0.000000,	0.078000,	0.033000,	0.202000,	0.032000,	0.123656, 	PORT 0 NAAR PORT 3, R2.4, L6.8
schuin4,	0.000000,	0.032000,	0.033000,	0.202000,	0.078000,	0.123656, 	PORT 1 NAAR PORT 2, R2.2, L6.6
schuin1,	0.032000,	0.00000,	0.078328,	0.032000,	0.202000,	0.168984, 	PORT 0 NAAR PORT 2, O4.8, B8.2
schuin2,	0.078000,	0.00000,	0.078328,	0.078000,	0.202000,	0.168984, 	PORT 1 NAAR PORT 3, O4.6, B8.4
schuin3,	0.032000,	0.00000,	0.078328,	0.078000,	0.202000,	0.168984, 	PORT 0 NAAR PORT 3, O4.8, B8.4
schuin4,	0.078000,	0.00000,	0.078328,	0.032000,	0.202000,	0.168984, 	PORT 1 NAAR PORT 2, O4.6, B8.2
schuin1,	0.124000,	0.00000,	0.078328,	0.124000,	0.202000,	0.168984, 	PORT 0 NAAR PORT 2, O4.4, B8.6
schuin2,	0.170000,	0.00000,	0.078328,	0.170000,	0.202000,	0.168984, 	PORT 1 NAAR PORT 3, O4.2, B8.8
schuin3,	0.124000,	0.00000,	0.078328,	0.170000,	0.202000,	0.168984, 	PORT 0 NAAR PORT 3, O4.4, B8.8
schuin4,	0.170000,	0.00000,	0.078328,	0.124000,	0.202000,	0.168984, 	PORT 1 NAAR PORT 2, O4.2, B8.6
schuin1,	0.202000,	0.032000,	0.078328,	0.000000,	0.032000,	0.168984, 	PORT 0 NAAR PORT 2, L4.8, R8.2
schuin2,	0.202000,	0.078000,	0.078328,	0.000000,	0.078000,	0.168984, 	PORT 1 NAAR PORT 3, L4.6, R8.4
schuin3,	0.202000,	0.032000,	0.078328,	0.000000,	0.078000,	0.168984, 	PORT 0 NAAR PORT 3, L4.8, R8.4
schuin4,	0.202000,	0.078000,	0.078328,	0.000000,	0.032000,	0.168984, 	PORT 1 NAAR PORT 2, L4.6, R8.2
schuin1,	0.202000,	0.124000,	0.078328,	0.000000,	0.124000,	0.168984, 	PORT 0 NAAR PORT 2, L4.4, R8.6
schuin2,	0.202000,	0.170000,	0.078328,	0.000000,	0.170000,	0.168984, 	PORT 1 NAAR PORT 3, L4.2, R8.8
schuin3,	0.202000,	0.124000,	0.078328,	0.000000,	0.170000,	0.168984, 	PORT 0 NAAR PORT 3, L4.4, R8.8
schuin4,	0.202000,	0.170000,	0.078328,	0.000000,	0.124000,	0.168984, 	PORT 1 NAAR PORT 2, L4.2, R8.6
